,Date,Media Sources,Negative,Neutral,Positive,Source Account,Tweet Polarity,Tweets Ago
56,Sun Jan 07 03:17:52 +0000 2018,BBC,0.0,1.0,0.0,รุ้งกร,0.0,57
57,Sun Jan 07 03:17:52 +0000 2018,BBC,0.0,1.0,0.0,bbcrussian,0.0,58
58,Sun Jan 07 03:17:51 +0000 2018,BBC,0.0,1.0,0.0,Críticas en 140,0.0,59
59,Sun Jan 07 03:17:51 +0000 2018,BBC,0.0,1.0,0.0,♠Whootyfiend♠,0.0,60
60,Sun Jan 07 03:17:51 +0000 2018,BBC,0.16,0.679,0.16,BBC News (World),0.0,61
61,Sun Jan 07 03:17:50 +0000 2018,BBC,0.165,0.659,0.176,Jeffrey Ventre,0.0516,62
62,Sun Jan 07 03:17:50 +0000 2018,BBC,0.0,1.0,0.0,๑•ัMarshmallow•ั๑,0.0,63
63,Sun Jan 07 03:17:46 +0000 2018,BBC,0.0,1.0,0.0,"จัสตินนี่ , ลูกสมมุติ",0.0,64
64,Sun Jan 07 03:17:44 +0000 2018,BBC,0.0,1.0,0.0,BBC News (World),0.0,65
65,Sun Jan 07 03:17:43 +0000 2018,BBC,0.0,1.0,0.0,Theresa Scrivener,0.0,66
66,Sun Jan 07 03:17:41 +0000 2018,BBC,0.22,0.68,0.1,Pat Condell,-0.4576,67
67,Sun Jan 07 03:17:39 +0000 2018,BBC,0.0,1.0,0.0,Ian Hamilton,0.0,68
68,Sun Jan 07 03:17:36 +0000 2018,BBC,0.0,1.0,0.0,EnglistA,0.0,69
69,Sun Jan 07 03:17:36 +0000 2018,BBC,0.149,0.851,0.0,Sebastian Gorka DrG,-0.5423,70
70,Sun Jan 07 03:17:32 +0000 2018,BBC,0.239,0.761,0.0,Magallanes BBC,-0.296,71
71,Sun Jan 07 03:17:30 +0000 2018,BBC,0.0,1.0,0.0,Korseries,0.0,72
72,Sun Jan 07 03:17:30 +0000 2018,BBC,0.206,0.794,0.0,BBC Mundo,-0.6908,73
73,Sun Jan 07 03:17:30 +0000 2018,BBC,0.205,0.795,0.0,Aurum Antiquum,-0.5574,74
74,Sun Jan 07 03:17:29 +0000 2018,BBC,0.0,1.0,0.0,BBC News اردو,0.0,75
75,Sun Jan 07 03:18:47 +0000 2018,BBC,0.0,1.0,0.0,Magallanes BBC,0.0,76
76,Sun Jan 07 03:18:45 +0000 2018,BBC,0.0,1.0,0.0,♠️Toy4black(18+)94K,0.0,77
77,Sun Jan 07 03:18:44 +0000 2018,BBC,0.203,0.797,0.0,BlueStateResistance,-0.4215,78
78,Sun Jan 07 03:18:44 +0000 2018,BBC,0.0,1.0,0.0,BBC Sport,0.0,79
79,Sun Jan 07 03:18:44 +0000 2018,BBC,0.0,1.0,0.0,♠Whootyfiend♠,0.0,80
80,Sun Jan 07 03:18:43 +0000 2018,BBC,0.0,1.0,0.0,さてぃ・うさ,0.0,81
81,Sun Jan 07 03:18:43 +0000 2018,BBC,0.0,1.0,0.0,Korseries,0.0,82
82,Sun Jan 07 03:18:40 +0000 2018,BBC,0.274,0.726,0.0,Sebastian Gorka DrG,-0.5267,83
83,Sun Jan 07 03:18:40 +0000 2018,BBC,0.0,1.0,0.0,รุ้งกร,0.0,84
84,Sun Jan 07 03:18:37 +0000 2018,BBC,0.0,1.0,0.0,کیومرث,0.0,85
85,Sun Jan 07 03:18:32 +0000 2018,BBC,0.0,1.0,0.0,Clare Lopez,0.0,86
86,Sun Jan 07 03:18:31 +0000 2018,BBC,0.0,0.619,0.381,♠Black Master♠ 210K,0.5719,87
87,Sun Jan 07 03:18:31 +0000 2018,BBC,0.0,1.0,0.0,在宅貝,0.0,88
88,Sun Jan 07 03:18:30 +0000 2018,BBC,0.0,1.0,0.0,"จัสตินนี่ , ลูกสมมุติ",0.0,89
89,Sun Jan 07 03:18:30 +0000 2018,BBC,0.0,1.0,0.0,Phoebe Lynn,0.0,90
90,Sun Jan 07 03:18:30 +0000 2018,BBC,0.0,1.0,0.0,Rafi,0.0,91
91,Sun Jan 07 03:18:29 +0000 2018,BBC,0.0,1.0,0.0,BBC 뉴스 코리아 비공식 계정,0.0,92
92,Sun Jan 07 03:18:28 +0000 2018,BBC,0.0,1.0,0.0,Radamés Rivas,0.0,93
93,Sun Jan 07 03:18:26 +0000 2018,BBC,0.0,1.0,0.0,BBC News (World),0.0,94
94,Sun Jan 07 03:18:25 +0000 2018,BBC,0.0,1.0,0.0,Korseries,0.0,95
95,Sun Jan 07 03:18:25 +0000 2018,BBC,0.0,1.0,0.0,BBC Sport,0.0,96
96,Sun Jan 07 03:18:23 +0000 2018,BBC,0.112,0.772,0.116,Rachel Butler,0.0258,97
97,Sun Jan 07 03:18:22 +0000 2018,BBC,0.0,1.0,0.0,Ravinder Tyagi,0.0,98
98,Sun Jan 07 03:18:21 +0000 2018,BBC,0.0,1.0,0.0,遠子先輩,0.0,99
99,Sun Jan 07 03:18:17 +0000 2018,BBC,0.135,0.739,0.126,Naomi Oni ✨,-0.0516,100
100,Sun Jan 07 03:18:41 +0000 2018,CBS,0.63,0.37,0.0,Nathan Anders,-0.6249,1
101,Sun Jan 07 03:18:40 +0000 2018,CBS,0.0,1.0,0.0,Laura Ingraham,0.0,2
102,Sun Jan 07 03:18:39 +0000 2018,CBS,0.642,0.358,0.0,"Ryan Knight, PROUD RESISTER 👊",-0.9826,3
103,Sun Jan 07 03:18:30 +0000 2018,CBS,0.508,0.416,0.076,Veteran Resists 2018💥,-0.9389,4
104,Sun Jan 07 03:18:28 +0000 2018,CBS,0.0,0.805,0.195,Founders Brewing Co.,0.1779,5
105,Sun Jan 07 03:18:09 +0000 2018,CBS,0.0,1.0,0.0,W A R R I O R,0.0,6
106,Sun Jan 07 03:18:09 +0000 2018,CBS,0.0,1.0,0.0,Mr_Pinko🇺🇲Videos🇺🇲#MAGA🇺🇲#Trump2020🇺🇲GAB,0.0,7
107,Sun Jan 07 03:18:04 +0000 2018,CBS,0.642,0.358,0.0,"Ryan Knight, PROUD RESISTER 👊",-0.9826,8
108,Sun Jan 07 03:17:51 +0000 2018,CBS,0.214,0.587,0.199,Doug Jones,-0.126,9
109,Sun Jan 07 03:17:40 +0000 2018,CBS,0.0,0.877,0.123,CBS,0.2732,10
110,Sun Jan 07 03:17:40 +0000 2018,CBS,0.143,0.857,0.0,Celeb Big Brother,-0.3252,11
111,Sun Jan 07 03:17:32 +0000 2018,CBS,0.0,1.0,0.0,RetroNewsNow,0.0,12
112,Sun Jan 07 03:17:30 +0000 2018,CBS,0.0,0.664,0.336,Jazz Shaw,0.7964,13
113,Sun Jan 07 03:17:27 +0000 2018,CBS,0.147,0.566,0.287,The Good Wife,0.4504,14
114,Sun Jan 07 03:17:26 +0000 2018,CBS,0.0,0.888,0.112,48 Hours,0.34,15
115,Sun Jan 07 03:17:23 +0000 2018,CBS,0.0,0.741,0.259,Fanucci,0.4215,16
116,Sun Jan 07 03:17:20 +0000 2018,CBS,0.0,1.0,0.0,Italiandreamer73,0.0,17
117,Sun Jan 07 03:17:07 +0000 2018,CBS,0.162,0.838,0.0,Eddie DiFruscia,-0.4767,18
118,Sun Jan 07 03:17:04 +0000 2018,CBS,0.0,1.0,0.0,CNN,0.0,19
119,Sun Jan 07 03:17:03 +0000 2018,CBS,0.095,0.833,0.071,RG,-0.1546,20
120,Sun Jan 07 03:16:39 +0000 2018,CBS,0.0,0.893,0.107,ABC News,0.34,21
121,Sun Jan 07 03:16:17 +0000 2018,CBS,0.146,0.854,0.0,SURVIVOR,-0.6249,22
122,Sun Jan 07 03:16:13 +0000 2018,CBS,0.0,1.0,0.0,I Live For Football,0.0,23
123,Sun Jan 07 03:16:06 +0000 2018,CBS,0.095,0.833,0.071,RG,-0.1546,24
124,Sun Jan 07 03:16:02 +0000 2018,CBS,0.432,0.568,0.0,Jake Tapper,-0.9171,25
